603: ['3:50:10', '2000', 'w', 'u']
604: ['3:50:11', '1987', 'm', 'u']
605: ['3:50:18', '1994', 'm', 'u']
606: ['3:50:20', '2002', 'm', 'u']
607: ['3:50:21', '2002', 'm', 'u']
608: ['3:50:21', '2000', 'm', 'u']
609: ['3:50:22', '1998', 'm', 'u']
611: ['3:50:34', '1994', 'm', 'u']
612: ['3:50:35', '2003', 'w', 'u']
613: ['3:50:36', '2002', 'w', 'u']
614: ['3:50:38', '1990', 'm', 'u']
615: ['3:50:53', '1999', 'm', 'u']
616: ['3:50:55', '1964', 'm', 'u']
617: ['3:50:55', '1980', 'm', 'u']
618: ['3:50:59', '1973', 'm', 'u']
619: ['3:51:00', '1982', 'm', 'u']
620: ['3:51:00', '1967', 'm', 'u']
