489: ['3:10:01', '1973', 'M', 'FRA']
490: ['3:10:01', '1995', 'M', 'GER']
491: ['3:10:01', '1987', 'M', 'CHI']
492: ['3:10:01', '1997', 'M', 'CHN']
493: ['3:10:01', '1999', 'W', 'AUT']
494: ['3:10:01', '1990', 'M', 'GER']
495: ['3:10:01', '1975', 'M', 'LSG']
496: ['3:10:01', '1989', 'M', 'GER']
497: ['3:10:01', '1992', 'W', 'GER']
498: ['3:10:01', '1997', 'M', 'GER']
499: ['3:10:01', '1971', 'M', 'GER']
500: ['3:10:01', '1998', 'M', 'ARG']
501: ['3:10:01', '1984', 'M', 'GER']
502: ['3:10:01', '2000', 'M', 'GER']
503: ['3:10:01', '1982', 'M', 'GER']
504: ['3:10:01', '1975', 'M', 'NED']
505: ['3:10:01', '1978', 'M', 'EPO']
506: ['3:10:01', '1993', 'W', 'RUS']
507: ['3:10:01', '1966', 'M', 'GER']
508: ['3:10:01', '1991', 'M', 'GER']
509: ['3:10:01', '1991', 'M', 'GER']
510: ['3:10:01', '1985', 'M', 'GER']
511: ['3:10:01', '1995', 'M', 'GER']
512: ['3:10:01', '1998', 'M', 'GER']
513: ['3:10:01', '2000', 'M', 'JPN']
514: ['3:10:01', '1990', 'M', 'GBR']
515: ['3:10:01', '1962', 'M', 'GGY']
516: ['3:10:01', '1986', 'M', 'GER']
517: ['3:10:01', '1998', 'M', 'POL']
518: ['3:10:01', '1970', 'M', 'ÖAV']
519: ['3:10:01', '1990', 'M', 'AUT']
520: ['3:10:01', '1991', 'M', 'GER']
521: ['3:10:01', '1989', 'M', 'FRA']
522: ['3:10:01', '1981', 'M', 'GER']
523: ['3:10:01', '1989', 'M', 'GER']
524: ['3:10:01', '1990', 'M', 'GER']
525: ['3:10:01', '1978', 'M', 'GER']
526: ['3:10:01', '1978', 'M', 'MEX']
527: ['3:10:01', '1999', 'M', 'GER']
528: ['3:10:01', '1986', 'M', 'AUT']
529: ['3:10:01', '1985', 'M', 'LUX']
530: ['3:10:01', '1991', 'M', 'GER']
531: ['3:10:01', '1986', 'M', 'UKR']
532: ['3:10:01', '1996', 'W', 'GER']
533: ['3:10:01', '1995', 'M', 'GER']
534: ['3:10:01', '1974', 'M', 'FRA']
535: ['3:10:01', '1984', 'M', 'GER']
536: ['3:10:01', '1981', 'W', 'GER']
537: ['3:10:01', '2000', 'W', 'GER']
538: ['3:10:01', '1993', 'M', 'JPN']
539: ['3:10:01', '1982', 'M', 'FRA']
540: ['3:10:01', '1999', 'M', 'RUS']
541: ['3:10:01', '1992', 'M', 'GER']
542: ['3:10:01', '1988', 'M', 'GER']
543: ['3:10:01', '1998', 'W', 'LFV']
544: ['3:10:01', '1999', 'M', 'SWM']
545: ['3:10:01', '1978', 'M', 'DEN']
546: ['3:10:01', '2000', 'M', 'GER']
547: ['3:10:01', '1990', 'M', 'GER']
548: ['3:10:01', '1989', 'M', 'GER']
549: ['3:10:01', '1971', 'M', 'TUR']
550: ['3:10:01', '1970', 'M', 'GER']
551: ['3:10:01', '1996', 'M', 'GER']
552: ['3:10:01', '1986', 'M', 'GER']
553: ['3:10:01', '2003', 'U', 'CZE']
554: ['3:10:01', '1993', 'M', 'GER']
555: ['3:10:01', '1986', 'M', 'IND']
556: ['3:10:01', '1983', 'M', 'GER']
557: ['3:10:01', '1974', 'M', 'NED']
558: ['3:10:01', '2002', 'U', 'GER']
559: ['3:10:01', '1989', 'M', 'GER']
560: ['3:10:01', '1981', 'M', 'POL']
561: ['3:10:01', '1987', 'M', 'NOR']
562: ['3:10:01', '1972', 'M', 'MLV']
563: ['3:10:01', '1996', 'M', 'GBR']
564: ['3:10:01', '1995', 'M', 'GER']
565: ['3:10:01', '1998', 'M', 'GER']
566: ['3:10:01', '1988', 'M', 'ITA']
567: ['3:10:01', '1994', 'M', 'ESP']
568: ['3:10:01', '1978', 'M', 'GER']
569: ['3:10:01', '1966', 'M', 'GER']
570: ['3:10:01', '1992', 'M', 'GER']
571: ['3:10:01', '1985', 'M', 'GER']
572: ['3:10:01', '1983', 'M', 'POL']
